task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
verify-rc-source-cpp-linux-almalinux-10-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/29507302908/job/87651283950'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-cpp-linux-almalinux-10-amd64,github,"{'env': {'ALMALINUX': '10'}, 'target': 'cpp', 'distro': 'almalinux'}",verify-rc/github.linux.amd64.docker.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-cpp-linux-conda-latest-amd64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/29507304791/job/87651292059'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-cpp-linux-conda-latest-amd64,github,"{'env': {'CONDA': 'latest'}, 'target': 'cpp', 'distro': 'conda'}",verify-rc/github.linux.amd64.docker.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-cpp-linux-ubuntu-22.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/29507305300/job/87651293760'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-cpp-linux-ubuntu-22.04-amd64,github,"{'env': {'UBUNTU': '22.04'}, 'target': 'cpp', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-cpp-linux-ubuntu-24.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/29507313868/job/87651324994'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-cpp-linux-ubuntu-24.04-amd64,github,"{'env': {'UBUNTU': '24.04'}, 'target': 'cpp', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-cpp-macos-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/29507303835/job/87651288111'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-cpp-macos-amd64,github,"{'target': 'cpp', 'github_runner': 'macos-15-intel'}",verify-rc/github.macos.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-cpp-macos-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/29507305293/job/87651293408'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-cpp-macos-arm64,github,"{'env': {'ARROW_FLIGHT': 0, 'ARROW_GANDIVA': 0, 'PYTEST_ADDOPTS': ""-k 'not test_cancellation'""}, 'target': 'cpp', 'github_runner': 'macos-14'}",verify-rc/github.macos.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-cpp-macos-conda-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/29507309813/job/87651309832'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-cpp-macos-conda-amd64,github,"{'target': 'cpp', 'use_conda': True, 'github_runner': 'macos-15-intel'}",verify-rc/github.macos.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-integration-linux-almalinux-10-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/29507299364/job/87651270858'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-integration-linux-almalinux-10-amd64,github,"{'env': {'ALMALINUX': '10'}, 'target': 'integration', 'distro': 'almalinux'}",verify-rc/github.linux.amd64.docker.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-integration-linux-conda-latest-amd64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/29507301707/job/87651279628'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-integration-linux-conda-latest-amd64,github,"{'env': {'CONDA': 'latest'}, 'target': 'integration', 'distro': 'conda'}",verify-rc/github.linux.amd64.docker.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
verify-rc-source-integration-linux-ubuntu-22.04-amd64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/29507304038/job/87651288687'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-07-16-0-github-verify-rc-source-integration-linux-ubuntu-22.04-amd64,github,"{'env': {'UBUNTU': '22.04'}, 'target': 'integration', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,1f3f40f16461d3d0945bdff1f0a1e674fde9bd9a
